,date,SPY,TLT,GLD,AAPL,MSFT,JPM,UNH,WMT,XLE,BA,IWM,EFA
0,2013-03-31,0.020000000033591262,0.19999999999996038,0.1382368030026657,0.19999999997190554,0.02000000000625757,0.020000000010435098,0.19999999998054907,0.03160594497959481,0.02000000000684444,0.020000000005935152,0.11015725199856044,0.020000000003692044
1,2013-05-31,0.020000000035049512,0.19999999999994902,0.02000000001060035,0.1999999999710201,0.020000000004955165,0.020000000011048878,0.19999999997947618,0.17511596806062873,0.020000000007412092,0.0683983794642586,0.036485652451357584,0.020000000004255586
2,2013-07-31,0.020000000102767063,0.19999999999954407,0.020000000029013955,0.19999999991161752,0.02000000001829079,0.020000000034397055,0.19999999994483722,0.020000000021015436,0.020000000022008302,0.19999999992000247,0.05999999999641587,0.019999999999983146
3,2013-08-31,0.020000000443744212,0.1679362066124707,0.020000000127690907,0.19999999961121942,0.020000000092576,0.020000000146942944,0.199999999754947,0.020000000074951032,0.020000000097528337,0.1999999996565639,0.0920637933811671,0.019999999999992166
4,2013-10-31,0.02000000074213396,0.15512538720108307,0.02000000023286806,0.19999999935881854,0.020000000187141643,0.02000000021758091,0.19999999958992215,0.02000000008805383,0.020000000182850565,0.19999999944152583,0.10487461275771293,0.01999999999999356
5,2013-12-31,0.020000000162149256,0.12175341849713209,0.020000000052258313,0.1999999998606878,0.020000000042067447,0.02000000004903763,0.19999999991327916,0.030567781469905533,0.02000000004091345,0.1999999998786239,0.12767880004841423,0.020000000000321892
6,2014-01-31,0.020000000190235675,0.11992968034684541,0.020000000059292023,0.19999999983892316,0.0200000000472889,0.020000000055911515,0.19999999989964487,0.02000000002193112,0.02000000004708137,0.1999999998591729,0.1400703196477361,0.020000000000201232
7,2014-03-31,0.020000000067208656,0.12662778099577157,0.020000000020910017,0.19999999994431356,0.020000000017062893,0.02000000002109622,0.19999999996521395,0.020000000010057747,0.02000000001842532,0.19999999995079637,0.1333722190040127,0.020000000000310023
8,2014-05-31,0.020000000011476844,0.14643256922792772,0.02000000000284367,0.19999999999196277,0.02000000000242636,0.020000000002967148,0.19999999999434498,0.020000000001784674,0.02000000000430642,0.19999999999270804,0.11356743076720466,0.020000000000018205
9,2014-07-31,0.020000000393854363,0.15778921558741832,0.02000000012280105,0.19999999965687357,0.020000000095227666,0.020000000122192215,0.1999999997629799,0.02000000007028681,0.020136049712556843,0.19999999970114493,0.10207473477435709,0.020000000000029983
10,2014-08-31,0.06000000002137254,0.1999999999976716,0.02000000000769108,0.19999999997840595,0.020000000006156107,0.02000000000781842,0.1999999999850566,0.020000000004344307,0.02000000000785401,0.19999999998102852,0.020000000002528703,0.019999999999999022
11,2014-10-31,0.020000000063449402,0.1932712812638335,0.020000000019967,0.19999999994593043,0.0667287187362208,0.020000000020904754,0.19999999996238482,0.020000000012269807,0.020000000018720203,0.19999999995340137,0.02000000000146898,0.020000000001299333
12,2014-12-31,0.09518984102130135,0.16481015900161736,0.020000000010250762,0.1999999999723112,0.020000000007972002,0.020000000010795778,0.19999999998080392,0.02000000000607966,0.02000000001081937,0.19999999997641635,0.020000000001209668,0.020000000000263325
13,2015-01-31,0.02000000002752302,0.18748040266800697,0.020000000006470415,0.19999999998239762,0.02000000000520092,0.02000000000686008,0.19999999998760654,0.02000000000422414,0.020000000006847807,0.19999999998438825,0.0725195973197544,0.020000000000591572
14,2015-03-31,0.02625166647424931,0.19999999999727194,0.0200000000183832,0.19999999998161935,0.020000000002109417,0.020000000000127614,0.20000000000000043,0.020000000005780116,0.020000000000006637,0.19999999998159929,0.05374833353882002,0.019999999999998918
15,2015-05-31,0.020000000001748293,0.18503796319937885,0.02000000003707847,0.19999999996289364,0.07496203658796985,0.020000000000442487,0.1999999999895513,0.020000000030280296,0.02000000000237056,0.19999999996485646,0.020000000223407224,0.01999999999998312
16,2015-07-31,0.03259770151535435,0.13004812689798345,0.01999999999898339,0.20000000000101087,0.01999999999986503,0.02000000000059424,0.2000000000000527,0.01999999999942901,0.02000000000000933,0.20000000000095822,0.11735417158569691,0.020000000000001534
17,2015-08-31,0.12403699853321125,0.13596300146891852,0.020000000038155632,0.1999999999618106,0.020000000019736276,0.02000000000211216,0.19999999999999477,0.02000000000747657,0.020000000000005784,0.19999999996684326,0.020000000001655253,0.020000000000010218
18,2015-10-31,0.020000000002385505,0.19999999999974527,0.020000000007579437,0.1999999999904714,0.04995692202277163,0.030043077976772227,0.19999999999826598,0.020000000009521443,0.01999999999999805,0.199999999990412,0.020000000001967794,0.01999999999999713
19,2015-12-31,0.02000000020931376,0.12726310139575792,0.02000000000494443,0.19999999979232044,0.1327368985811517,0.02000000000129202,0.19999999999673587,0.020000000207579728,0.02000000000002364,0.19999999979101427,0.02000000001975059,0.019999999999956997
20,2016-01-31,0.02000000020987114,0.11363389958879992,0.02000000001943337,0.1999999997901529,0.14636610040700104,0.02000000000003219,0.19999999999995974,0.02000000018586938,0.02000000000851852,0.19999999979010386,0.02000000000005232,0.0199999999999926
21,2016-03-31,0.020000000000468986,0.1999999999994347,0.020000000003184387,0.19999999998623433,0.1587625457095485,0.020000000000023607,0.19999999999999807,0.020000000014324223,0.02000000000012596,0.10123745427311111,0.020000000013511588,0.019999999999990015
22,2016-05-31,0.02000000010319847,0.19999999991487205,0.020000000011146022,0.19999999998535162,0.07224089926962471,0.02000000000044784,0.1999999999961868,0.020000000012294853,0.020000000000031052,0.18775910070587534,0.020000000000888134,0.019999999999916595
