,date,method,total_return,avg_return,volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,turnover,transaction_cost,net_total_return,period_returns,avg_return_annual,volatility_annual,sharpe_ratio_annual,sortino_ratio_annual,benchmark_total_return,benchmark_avg_return,benchmark_volatility,benchmark_sharpe_ratio
0,2013-03-31,combined,0.01565677469903126,0.015656774699031248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01565677469903126,[0.015656774699031248],0.18788129638837497,0.0,0.0,0.0,0.030266990989380904,0.030266990989380904,0.0,0.0
1,2013-05-31,combined,-0.02326716692350439,-0.023267166923504397,0.0,0.0,0.0,0.0,0.0,0.38381680508510085,0.0002878626038141664,-0.023555029527318555,[-0.023267166923504397],-0.2792060030820528,0.0,0.0,0.0,-0.021091860884108082,-0.0210918608841081,0.0,0.0
2,2013-07-31,combined,0.005727628332027113,0.005727628332027135,0.0,0.0,0.0,0.0,0.0,0.31023193627654555,0.000298474762451314,0.005429153569575799,[0.005727628332027135],0.06873153998432563,0.0,0.0,0.0,-0.023356873510155585,-0.02335687351015554,0.0,0.0
3,2013-08-31,combined,0.031615741919563956,0.03161574191956397,0.0,0.0,0.0,0.0,0.0,0.06412758828150136,3.206379463799747e-05,0.031583678124925955,[0.03161574191956397],0.37938890303476763,0.0,0.0,0.0,0.02159507002181482,0.0215950700218148,0.0,0.0
4,2013-10-31,combined,0.04331291518475955,0.04331291518475945,0.0,0.0,0.0,0.0,0.0,0.025621640087594173,1.2810820449182191e-05,0.043300104364310366,[0.04331291518475945],0.5197549822171135,0.0,0.0,0.0,0.006969432126846531,0.00696943212684642,0.0,0.0
5,2013-12-31,combined,-0.04637545721270653,-0.04637545721270648,0.0,0.0,0.0,0.0,0.0,0.06674393985530572,3.865586140654963e-05,-0.04641411307411308,[-0.04637545721270648],-0.5565054865524778,0.0,0.0,0.0,0.004062312972783033,0.004062312972783061,0.0,0.0
6,2014-01-31,combined,0.044984576752921335,0.04498457675292128,0.0,0.0,0.0,0.0,0.0,0.024783039305936956,1.7675410410428318e-05,0.044966901342510905,[0.04498457675292128],0.5398149210350554,0.0,0.0,0.0,0.029405848420518632,0.02940584842051854,0.0,0.0
7,2014-03-31,combined,0.006957039536301446,0.006957039536301418,0.0,0.0,0.0,0.0,0.0,0.013396201822321051,6.698101080909327e-06,0.006950341435220536,[0.006957039536301418],0.08348447443561702,0.0,0.0,0.0,0.012551546622803222,0.0125515466228032,0.0,0.0
8,2014-05-31,combined,0.009211478751157465,0.009211478751157392,0.0,0.0,0.0,0.0,0.0,0.039609576716903655,1.9804788438317122e-05,0.009191673962719148,[0.009211478751157392],0.1105377450138887,0.0,0.0,0.0,0.011381848028624297,0.011381848028624379,0.0,0.0
9,2014-07-31,combined,0.05734293684063596,0.05734293684063606,0.0,0.0,0.0,0.0,0.0,0.022985393701481158,1.1492697420013523e-05,0.05733144414321595,[0.05734293684063606],0.6881152420876326,0.0,0.0,0.0,0.042573210297601305,0.04257321029760138,0.0,0.0
10,2014-08-31,combined,-0.011513484557454712,-0.011513484557454766,0.0,0.0,0.0,0.0,0.0,0.16442156972232413,8.221078540760233e-05,-0.011595695342862315,[-0.011513484557454766],-0.13816181468945718,0.0,0.0,0.0,-0.01672678237901659,-0.01672678237901656,0.0,0.0
11,2014-10-31,combined,0.05418534517759355,0.05418534517759347,0.0,0.0,0.0,0.0,0.0,0.09345743755111435,7.009307819248268e-05,0.054115252099401066,[0.05418534517759347],0.6502241421311217,0.0,0.0,0.0,0.028352382216164207,0.02835238221616416,0.0,0.0
12,2014-12-31,combined,0.05450314479094476,0.05450314479094485,0.0,0.0,0.0,0.0,0.0,0.15037968205134325,9.8554200431853e-05,0.054404590590512905,[0.05450314479094485],0.6540377374913382,0.0,0.0,0.0,0.021485357341269662,0.02148535734126974,0.0,0.0
13,2015-01-31,combined,0.04195633749915961,0.041956337499159696,0.0,0.0,0.0,0.0,0.0,0.15037968202021607,7.518984102681968e-05,0.04188114765813279,[0.041956337499159696],0.5034760499899164,0.0,0.0,0.0,0.009169150666006765,0.009169150666006817,0.0,0.0
14,2015-03-31,combined,-0.02150663716365131,-0.0215066371636513,0.0,0.0,0.0,0.0,0.0,0.03754252760361332,1.877126381547719e-05,-0.021525408427466787,[-0.0215066371636513],-0.2580796459638156,0.0,0.0,0.0,-0.007800641274621656,-0.007800641274621622,0.0,0.0
15,2015-05-31,combined,-0.02021013383195014,-0.02021013383195011,0.0,0.0,0.0,0.0,0.0,0.10992407326347503,8.24430549600341e-05,-0.020292576886910173,[-0.02021013383195011],-0.24252160598340133,0.0,0.0,0.0,-0.028475157143292407,-0.028475157143292358,0.0,0.0
16,2015-07-31,combined,-0.05649415709699579,-0.056494157096995755,0.0,0.0,0.0,0.0,0.0,0.2199037459215941,0.0001374328913127112,-0.0566315899883085,[-0.056494157096995755],-0.677929885163949,0.0,0.0,0.0,-0.039327935472546316,-0.039327935472546274,0.0,0.0
17,2015-08-31,combined,-0.007309786882967906,-0.0073097868829678555,0.0,0.0,0.0,0.0,0.0,0.194708343314828,9.735417170881895e-05,-0.007407141054676725,[-0.0073097868829678555],-0.08771744259561426,0.0,0.0,0.0,-0.007441952916564243,-0.00744195291656422,0.0,0.0
18,2015-10-31,combined,-0.010942790385974788,-0.010942790385974809,0.0,0.0,0.0,0.0,0.0,0.20807399712626068,0.00012403699857997967,-0.011066827384554768,[-0.010942790385974809],-0.1313134846316977,0.0,0.0,0.0,-0.0012779767271550169,-0.0012779767271550004,0.0,0.0
