,0,1,2,3,4,5,6,7,8,9,10,11
0,1.2317805885063818e-13,4.531598635794087e-13,0.2499999999553177,0.24999999999965886,1.3980053481993957e-11,6.980941035664877e-14,0.24999999999985614,3.042142238555202e-11,0.2500000000000057,4.687956995143393e-14,1.1236451804084193e-14,5.5726192869659274e-14
1,4.776724979132996e-15,1.3962204029177488e-14,0.24999999999795453,0.24999999999998712,8.088178445347417e-13,2.776836031408729e-15,0.24999999999999514,1.2287287679903789e-12,0.25000000000000006,1.7700560639043348e-15,5.351481823275286e-16,1.69293871650213e-15
2,8.979755070946907e-14,6.515913409070232e-15,0.24999999997336106,0.24999999999992153,4.4966043276789174e-12,5.3577014223981155e-14,0.24999999999996841,2.2017710639858052e-11,0.2500000000000029,3.6288083899830916e-14,1.2056990823705472e-14,3.291147101026777e-14
3,6.666370344575209e-14,1.5671872596434562e-14,0.24999999998345754,0.24999999999984354,3.463325921447643e-12,4.1912458775434134e-14,0.2499999999999946,1.3032160365060691e-11,0.2500000000000039,2.824274183749752e-14,1.472267376324788e-14,3.4858917945986235e-14
4,6.615764642965613e-14,4.598750903786623e-14,0.24999999998025876,0.24999999999986536,4.5853379713749965e-12,3.826771683766621e-14,0.24999999999996628,1.511125374793815e-11,0.24999999999999745,2.479047616581254e-14,1.055955551175552e-14,3.119216518964843e-14
5,8.789949592960686e-15,3.734138194495147e-15,0.2499999999967808,0.24999999999998038,4.818261794523492e-13,5.4674610177632824e-15,0.24999999999999217,2.7352085928061617e-12,0.2500000000000017,3.60680171620011e-15,1.3129825085499871e-15,5.045594017524672e-15
6,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
7,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
8,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
9,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
