,weight
SPY,0.010000000383157175
TLT,0.010000000631495533
GLD,0.2330093712814074
AAPL,0.29999999910150754
MSFT,0.21382149408224357
JPM,0.047262769620864516
UNH,0.06893981818556731
WMT,0.07696654611021092
XLE,0.010000000292214865
BA,0.010000000175193298
IWM,0.010000000089417782
EFA,0.010000000047594527
