,date,SPY,TLT,GLD,AAPL,MSFT,JPM,UNH,WMT,XLE,BA,IWM,EFA
0,2018-02-28,0.049999999999951784,0.05000000002762538,0.05000000000922322,0.1689129277944391,0.05000000000023676,0.05000000000021392,0.29999999997163795,0.05000000000215923,0.049999999999838056,0.08108707219491325,0.049999999999935874,0.04999999999981857
1,2018-03-31,0.04999999999998753,0.050000000026849865,0.050000000009096254,0.19959170628325765,0.05000000000019157,0.050000000000099465,0.2999999999770504,0.050000000001981244,0.04999999999991585,0.050408293701681844,0.04999999999999246,0.049999999999900985
2,2018-04-30,0.04999999999999331,0.050000000027971093,0.05000000000903436,0.11407083710904145,0.050000000000030034,0.050000000000017204,0.2999999999747167,0.05000000000144717,0.04999999999998357,0.13592916287779488,0.04999999999999247,0.049999999999982024
3,2018-05-31,0.04999999999999412,0.050000000027831566,0.05000000000894613,0.1999999999781163,0.050000000000008,0.050000000000006845,0.29999999997718557,0.05000000000191967,0.04999999999999034,0.05000000000602714,0.04999999999999564,0.049999999999988824
4,2018-06-30,0.049999999999987124,0.05000000002905254,0.0500000000091074,0.1629765262994723,0.04999999999999878,0.050000000000006664,0.2999999999703563,0.05000000000206502,0.04999999999998338,0.08702347369001552,0.049999999999991274,0.0499999999999825
5,2018-07-31,0.04999999999999593,0.050000000028188926,0.05000000000915879,0.15763832449804752,0.050000000000028674,0.0500000000000054,0.29999999997700777,0.05000000000189102,0.049999999999988935,0.09236167548571336,0.04999999999999687,0.04999999999998805
6,2018-08-31,0.04999999999992168,0.05000000003363968,0.05000000000856242,0.21463424323687486,0.0500000000004226,0.050000000000125555,0.28536575671261505,0.050000000001587955,0.04999999999978534,0.050000000006802076,0.04999999999990991,0.04999999999977346
7,2018-09-30,0.049999999999990385,0.0500000000269853,0.050000000009154416,0.19999999997669138,0.05000000000004666,0.050000000000003625,0.29999999997030186,0.05000000000173959,0.049999999999977424,0.05000000001515265,0.04999999999999142,0.049999999999976036
8,2018-10-31,0.05000000000000052,0.05000000002684852,0.05000000000931951,0.19999999998661955,0.05000000000001518,0.050000000000003604,0.299999999973154,0.05000000000331875,0.049999999999996915,0.05000000000073148,0.050000000000000155,0.04999999999999664
9,2018-11-30,0.04999999999998596,0.05000000002735048,0.050000000009306704,0.18135086172277776,0.05000000000014498,0.05000000000002935,0.2999999999768833,0.0500000000027103,0.049999999999958904,0.06864913826094311,0.049999999999990365,0.04999999999995277
10,2018-12-31,0.049999999999999864,0.050000000027613414,0.05000000000986936,0.19999999998160642,0.05000000000005175,0.05000000000001476,0.2999999999772375,0.050000000002631766,0.049999999999987915,0.050000000001013005,0.049999999999995264,0.04999999999998621
11,2019-01-31,0.05000000000000379,0.050000000025129415,0.05000000000986432,0.17149567638010074,0.050000000000012916,0.05000000000000564,0.2999999999770349,0.05000000000300958,0.05000000000000025,0.07850432360483434,0.05000000000000283,0.050000000000000426
12,2019-02-28,0.04999999999993388,0.0500000000431608,0.05000000000970125,0.12303667391599425,0.050000000000356155,0.05000000000008952,0.29999999995103926,0.050000000002816965,0.04999999999983533,0.12696332607736677,0.049999999999940876,0.049999999999777375
13,2019-03-31,0.04999999999999095,0.05000000003174374,0.050000000009962124,0.11454329054531788,0.05000000000028879,0.050000000000001404,0.29999999992298126,0.05000000000296728,0.049999999999979006,0.13545670948680033,0.04999999999998761,0.049999999999974905
14,2019-04-30,0.05000000000000081,0.05000000002561261,0.05000000000997361,0.13756127806710938,0.050000000000211056,0.05000000000000975,0.2685422306390984,0.050000000002924476,0.049999999999990975,0.14389649125508647,0.04999999999999745,0.04999999999999136
15,2019-05-31,0.05000000000000009,0.0500000000258602,0.0500000000102634,0.1620383826551435,0.05000000000002028,0.05000000000000464,0.2999999999765525,0.05000000000260037,0.04999999999999749,0.0879616173295663,0.04999999999999946,0.049999999999997755
16,2019-06-30,0.04999999999997307,0.05000000004448478,0.050000000009556206,0.1831657470484889,0.05000000000059582,0.050000000000149786,0.2999999999752515,0.05000000000178582,0.049999999999871876,0.066834252920024,0.04999999999994959,0.04999999999987655
17,2019-07-31,0.04999999999998071,0.050000000028362676,0.05000000000957592,0.1999999999837108,0.050000000000146684,0.05000000000002297,0.2999999999752237,0.0500000000017525,0.04999999999996059,0.050000000001353885,0.04999999999997661,0.04999999999996002
18,2019-08-31,0.05000000000000288,0.050000000031664216,0.050000000009096365,0.1888398856016661,0.05000000000142418,0.05000000000023227,0.29999999997192384,0.0500000000016358,0.0499999999997776,0.06116011438284438,0.049999999999936866,0.04999999999980365
19,2019-09-30,0.04999999999999472,0.05000000002878935,0.05000000000910203,0.21073567327164386,0.050000000000762664,0.0500000000001982,0.276000988060394,0.050000000001844846,0.049999999999856534,0.06326333862761632,0.04999999999995728,0.04999999999986482
20,2019-10-31,0.05000000000000028,0.05000000002579226,0.05000000000933682,0.2346530765305338,0.050000000000050684,0.050000000000005616,0.2653469234317741,0.05000000000238156,0.049999999999995944,0.05000000000014133,0.04999999999999914,0.04999999999999669
21,2019-11-30,0.05000000000000034,0.05000000002597173,0.050000000009433214,0.2260955755827861,0.05000000000026311,0.05000000000002285,0.2739044243768811,0.050000000002577136,0.04999999999998021,0.05000000000210986,0.04999999999999441,0.049999999999983974
22,2019-12-31,0.04999999999998947,0.050000000027147475,0.05000000000927388,0.2779262105926687,0.05000000000113766,0.050000000000314036,0.22207378936563035,0.050000000002621836,0.04999999999981954,0.050000000001657455,0.04999999999994537,0.04999999999981031
