,date,method,total_return,avg_return,volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,turnover,transaction_cost,net_total_return,period_returns,avg_return_annual,volatility_annual,sharpe_ratio_annual,sortino_ratio_annual,benchmark_6040_total_return,benchmark_6040_avg_return,benchmark_6040_volatility,benchmark_6040_sharpe_ratio,benchmark_spy_total_return,benchmark_spy_avg_return,benchmark_spy_volatility,benchmark_spy_sharpe_ratio,benchmark_tlt_total_return,benchmark_tlt_avg_return,benchmark_tlt_volatility,benchmark_tlt_sharpe_ratio
0,2013-03-31,combined,-0.03894260779467407,-0.012781943015340946,0.026947515859102975,-0.6134867162442504,-0.7153873812724129,-0.05261010233265093,-0.7402115956445396,0.0,0.0,-0.03894260779467407,"[0.014426472745412242, -0.0032770725863732315, -0.049495229205061844]",-0.15338331618409135,0.09334893321146887,-2.1251803246072654,2.4781745829149338,-0.004451044947599958,-0.0012342410961295343,0.02252573132377049,-0.22126878033344324,0.029353904946977316,0.009825923897327667,0.016481514433716624,0.36865082524807347,-0.05585813022289132,-0.017824488586315333,0.04789863190194718,-0.45041972452324436
1,2013-06-30,combined,0.0697659607200507,0.022919628300367912,0.019545354350125905,0.9807767082127333,0.0,0.0,0.0,0.12340276752773491,6.70079740711535e-05,0.06969895274597955,"[0.050556884818300056, 0.008691299993206369, 0.009510700089597313]",0.27503553960441496,0.06770709357271087,3.3975101790092195,0.0,0.019657421461220848,0.006737208661254762,0.02128052161789623,0.14037290602607297,0.05241750853442939,0.01777675108021927,0.03475374837970117,0.40360397753273597,-0.02939620622315986,-0.009822104967191998,0.012145922973827234,-1.117420635421284
2,2013-09-30,combined,0.05523990300625137,0.02727720078595488,0.007651421330415886,3.074879786377687,0.0,0.0,0.0,0.12801452253009465,6.796059289395872e-05,0.055171942413357405,"[0.03492862211637077, 0.019625779455538995]",0.3273264094314585,0.026505300988793137,10.65169603434538,0.0,0.04070895224872073,0.020237720365929482,0.013268526999924882,1.242618744795321,0.07731687551068411,0.0379722284765028,0.0083349611752678,4.1058653732005235,-0.01311478499605756,-0.006364041799930499,0.0206688757369105,-0.48933681389688904
3,2013-12-31,combined,0.030382217813214485,0.0103064513285554,0.023762209116461833,0.27591926728787447,0.0,0.0,0.0,0.08486414757752728,4.3016779871125716e-05,0.03033920103334336,"[-0.019483989305462655, 0.03866870948857122, 0.011734633802557634]",0.12367741594266479,0.0823147069795765,0.9558123794595517,0.0,0.04175842271328323,0.01379115108540649,0.011152349141875064,0.9003619737570603,0.017030305279732927,0.006187610542083866,0.03300582833482734,0.07385394232059705,0.07642192447048624,0.025196461900390436,0.02676396326358229,0.801318612239041
4,2014-03-31,combined,0.06778845118702082,0.02210526650825928,0.0016310634671805272,11.253557496440271,0.0,0.0,0.0,0.10592232192200104,5.7241817618021874e-05,0.06773120936940279,"[0.020163151620780657, 0.021998504684295577, 0.024154143219701607]",0.26526319809911136,0.00565016959105225,38.98346669946432,0.0,0.050417798328504126,0.01655187928480858,0.006501711691653676,1.9690013787050118,0.05159013537221524,0.016934291796271032,0.007135880199925607,1.8476055408565408,0.04842443731720292,0.0159782605176149,0.013532804852923007,0.903601333981674
5,2014-06-30,combined,0.018432596124726475,0.006516628590004532,0.028860913547024948,0.09586074208970156,0.32248740764334655,-0.021859948106310922,0.8432131693581204,0.18150908754880313,0.00010280144114036661,0.018329794683586108,"[-0.0047018915470031335, 0.04611172542332759, -0.021859948106310853]",0.07819954308005439,0.09997713723260022,0.3320713515012389,1.1171291496789042,0.01959218767743609,0.006813394021286842,0.02570487593811938,0.11917560032818295,0.011347642264707858,0.004076558622986466,0.025022717662209214,0.013050485858282874,0.03192493702612409,0.0109186471187374,0.028071665023765846,0.25536950204657716
6,2014-09-30,combined,0.06579684049900658,0.03239853025080108,0.007062914767131329,4.056190849721518,0.0,0.0,0.0,0.03120670547187402,1.8905932597692654e-05,0.06577793456640889,"[0.025335615483669752, 0.03946144501793241]",0.388782363009613,0.024466654452399934,14.051057273827292,0.0,0.05447767803243497,0.026878693016246083,0.0014738176003064405,15.693049812566423,0.051669820849383985,0.0255114158642474,0.001960412841602999,11.100425074982384,0.05869558632656702,0.0289296087442441,0.000743924738361601,33.84698403725485
7,2014-12-31,combined,0.05462842396036782,0.018074226169342452,0.01941616781058254,0.7377473407257642,0.0,-0.008971888607614121,6.088843313770819,0.1108130789473411,5.648779475492979e-05,0.05457193616561289,"[0.03570363416107124, 0.027490932954570384, -0.008971888607614258]",0.2168907140321094,0.06725957827242465,2.555631754571703,0.0,0.025641121587203664,0.008533354695136003,0.01084438790904517,0.44109033495069516,0.00881287363645522,0.003623131670397599,0.037612563843235816,-0.00337303062166066,0.042006599325098204,0.015898689232243603,0.06522762576347951,0.18625067354583322
8,2015-03-31,combined,-0.021950199287891103,-0.007265925239523314,0.014391970869761286,-0.7654215909141866,0.0,-0.02748649454740273,-0.7985812541514223,0.03000313938944741,2.2502354541013432e-05,-0.021972701642432115,"[0.0008344661528179324, 0.004854252676014885, -0.02748649454740276]",-0.08719110287427977,0.049855249534955584,-2.651498169347143,0.0,-0.03776566331161246,-0.012683936808027534,0.011434018605406524,-1.4372844207422244,0.002040963781109406,0.0007926640892767326,0.01497432060454664,-0.19749382885693886,-0.09555619319729669,-0.03289883815398393,0.007004282460391258,-5.232347262011579
9,2015-06-30,combined,-0.04905409773749114,-0.016399852894320822,0.02104525521076488,-0.9574534826269985,-1.1961330144207192,-0.05484444626336573,-0.8944223358903279,0.013020522844065859,7.952113662345231e-06,-0.049062049851153484,"[0.006126344497456162, -0.04450878115213248, -0.010817122028286143]",-0.19679823473184987,0.07290290256659686,-3.316716155587453,4.143526307174404,-0.016214665240987136,-0.005010757925908713,0.029063188395233818,-0.3014382939259831,-0.0642395635748293,-0.0212922332306881,0.034235184646258326,-0.7314765055144824,0.05867330881645372,0.019411455031260367,0.021374520974594823,0.732716071151964
