model,rmse,mae,mape,coverage,directional_accuracy,aic,bic
TSLM,0.030351292162124836,0.023481127263489044,138.77781667800372,0.5862068965517241,0.42857142857142855,-495.5811877933895,-454.53821106747205
ARIMA,0.02854729041972629,0.022789617687435752,118.78258790016673,0.896551724137931,0.0,-494.36351240042933,-488.8911155036403
ARIMA-Errors,0.027840764930950838,0.021831257581585835,125.10782599152796,0.896551724137931,0.2857142857142857,-495.2380242320267,-473.34843664487073
