,forecast,lower,upper,lower_80,upper_80
2023-08-31,0.002636301857261521,-0.04755203437565191,0.05282463809017495,-0.030180087310452068,0.03545269102497511
2023-09-30,0.004070039642094718,-0.04664840257953481,0.05478848186372424,-0.029092967200791662,0.037233046484981096
2023-10-31,0.00740529146029625,-0.04367823433932254,0.05848881725991503,-0.025996430703186472,0.040807013623778976
2023-11-30,0.005623553420232168,-0.045712107051364165,0.05695921389182851,-0.027943030743853455,0.03919013758431779
2023-12-31,0.006711799367557473,-0.044798319886560446,0.058221918621675396,-0.02696885726297503,0.04039245599808998
2024-01-31,0.004532756320060262,-0.04709823138178612,0.056163744021906645,-0.02922693194045789,0.038292444580578414
2024-02-29,0.005753226483986542,-0.04596157537181207,0.05746802833978516,-0.028061264906109263,0.03956771787408235
2024-03-31,0.005263496452319414,-0.04650946034084111,0.05703645324547993,-0.028589020407432043,0.039116013312070874
2024-04-30,0.005925280671919409,-0.04588804426217919,0.057738605606018005,-0.027953631496432305,0.03980419284027112
2024-05-31,0.008970452435256734,-0.04287090213760249,0.06081180700811595,-0.02492678732876442,0.042867692199277885
2024-06-30,0.00944155916071556,-0.04241926173701574,0.06130238005844686,-0.024468408948985408,0.04335152727041653
2024-07-31,0.008105779751781594,-0.04376856222217896,0.05998012172574215,-0.02581302931446048,0.04202458881802367
2024-08-31,0.007267715379694707,-0.04461601908473169,0.0591514498441211,-0.02665723510595905,0.04119266586534846
2024-09-30,0.007029834821319079,-0.044860424628794464,0.058920094271432626,-0.026899382123151516,0.04095905176578968
2024-10-31,0.00793859981574737,-0.04395619276994008,0.05983339240143482,-0.025993581186755613,0.04187078081825035
2024-11-30,0.007581929145386988,-0.0443160128704535,0.05947987116122748,-0.026352311158804723,0.0415161694495787
2024-12-31,0.005740337441804624,-0.04615979271384958,0.05764046759745883,-0.028195333610107967,0.03967600849371722
2025-01-31,0.004733792855664905,-0.04716785758485681,0.056635443296186624,-0.029202872257091356,0.03867045796842117
2025-02-28,0.007577218201007657,-0.04432548852086697,0.05947992492288229,-0.026360137577001723,0.04151457397901704
2025-03-31,0.010170576474995825,-0.041732864147987256,0.06207401709797891,-0.02376725917515504,0.044108412125146684
2025-04-30,0.007057216952073715,-0.04484673358587712,0.05896116749002455,-0.026880952113553333,0.040995386017700766
2025-05-31,0.00843131706915942,-0.043472987759338465,0.06033562189765731,-0.02550708365460462,0.042369717792923464
2025-06-30,0.005957564941834102,-0.0459469860494921,0.057862115933160305,-0.027980996739151852,0.039896126622820056
2025-07-31,0.007802350284930106,-0.04410237174185137,0.05970707231171159,-0.026136323230128933,0.041741023799989146
2025-08-31,0.005984871891125464,-0.04591996897229372,0.057889712754544645,-0.02795387932703439,0.03992362310928532
2025-09-30,0.007134894977583512,-0.04477002845443801,0.05903981840960503,-0.026803910229283502,0.04107370018445052
2025-10-31,0.009799388691912613,-0.04210559210943762,0.06170436949326284,-0.024139454026742165,0.04373823141056739
2025-11-30,0.010170525542966533,-0.041734495119070895,0.06207554620500396,-0.02376834323919067,0.04410939432512374
2025-12-31,0.009253265501532472,-0.042651782856050174,0.06115831385911512,-0.024685621389768382,0.043192152392833326
