model,ljung_box_pvalue,ljung_box_statistic,jarque_bera_statistic,jarque_bera_pvalue,residual_mean,residual_std,residual_skew,residual_kurtosis
TSLM,0.16571847721490673,14.162255069500427,0.2501399493619009,0.8824351523059005,7.38626995823809e-17,0.024240902985926113,-0.02746624887310781,0.2876206272105315
ARIMA,0.5903948584620808,8.394159168941663,0.4560023937516026,0.7961233069741626,4.978623637998989e-06,0.0273144854735747,0.08161675264634272,0.33120098902409634
ARIMA-Errors,0.4786020388764418,9.57428114910181,0.35941784140943667,0.8355133766642476,-0.0009452139492455139,0.025762145763670273,0.1369635054131662,0.1078330994344805
