,forecast,lower,upper,lower_80,upper_80
2023-08-31,0.007443359962341363,-0.011224293311294264,0.02611101323597699,-0.004762762428976802,0.019649482353659528
2023-09-30,-0.02385779607513406,-0.04230483943785859,-0.0054107527124095285,-0.035919669399156674,-0.011795922751111442
2023-10-31,0.0026520479308180314,-0.017362089992740463,0.022666185854376526,-0.0104344934501865,0.015738589311822565
2023-11-30,0.0071951196046704,-0.012638198303652232,0.027028437512993032,-0.005773189923384192,0.020163429132724994
2023-12-31,0.011294657069914896,-0.0077467599377300765,0.03033607407755987,-0.0011558562909525782,0.02374517043078237
2024-01-31,0.021543346175543873,0.0027328819542145125,0.04035381039687323,0.009243844724693265,0.03384284762639448
2024-02-29,-0.0011134905728156196,-0.019308732239145556,0.017081751093514317,-0.013010719617266431,0.010783738471635192
2024-03-31,0.005253737944422524,-0.013571796701272287,0.024079272590117336,-0.007055617527262808,0.01756309341610786
2024-04-30,0.0033516170465085074,-0.016378992684382275,0.023082226777399288,-0.009549535214055323,0.016252769307072337
2024-05-31,0.006276684815745773,-0.014471982584175067,0.027025352215666616,-0.007290139574434424,0.01984350920592597
2024-06-30,0.013242220604294407,-0.008576097511578123,0.035060538720166935,-0.0010240107956199403,0.027508452004208754
2024-07-31,0.018214848058612124,-0.001036884129638517,0.037466580246862766,0.00562681699278221,0.03080287912444204
2024-08-31,0.008067647752412971,-0.011801140491746484,0.027936435996572424,-0.004923854581622053,0.021059150086447993
2024-09-30,-0.023668779176985948,-0.04400847209450881,-0.0033290862594630884,-0.03696818952674544,-0.01036936882722646
2024-10-31,0.0025747169723643513,-0.017651572179503007,0.022801006124231707,-0.010650542640666897,0.0157999765853956
2024-11-30,0.008429111691930315,-0.01143690754510572,0.02829513092896635,-0.00456058008566489,0.02141880346952552
2024-12-31,0.010350144182516988,-0.009784582663396582,0.03048487102843056,-0.002815246056655594,0.02351553442168957
2025-01-31,0.021535351220026054,0.0017522392005302305,0.041318463239521874,0.008599869558163427,0.03447083288188868
2025-02-28,-0.0011923971433131092,-0.021254534752498434,0.018869740465872215,-0.014310323831775294,0.011925529545149076
2025-03-31,0.006757791888484852,-0.0160997615591746,0.0296153453361443,-0.008187958970422682,0.021703542747392383
2025-04-30,0.0033805701234763392,-0.018020197861161127,0.024781338108113806,-0.010612639920638338,0.017373780167591016
2025-05-31,0.005523798129846366,-0.016313113009194257,0.02736070926888699,-0.0087545905944562,0.01980218685414893
2025-06-30,0.011296847334239987,-0.009525716595129198,0.03211941126360917,-0.0023182953994148013,0.024911990067894775
2025-07-31,0.017822758488610205,-0.0023243891252267557,0.037969906102447167,0.004649246745826818,0.03099627023139359
2025-08-31,0.007585106578052518,-0.012739544234055385,0.027909757390160418,-0.005704468267638691,0.020874681423743727
2025-09-30,-0.023583832098836223,-0.04455207433681442,-0.0026155898608580218,-0.03729422875855108,-0.009873435439121368
2025-10-31,0.002645236207670608,-0.020855585288039394,0.02614605770338061,-0.012721125019869522,0.01801159743521074
2025-11-30,0.008959240842264717,-0.0143992355134251,0.03231771719795454,-0.006314045901009653,0.024232527585539086
2025-12-31,0.011144327131398683,-0.011480851710024925,0.033769505972822286,-0.003649482139416741,0.025938136402214106
