,Bull_Market,Bear_Market,Sideways,Crisis
2015-01-31,0.24283679590897145,2.148677147814432e-05,0.7099175797776494,0.047224137541900975
2015-02-28,0.32425558733381765,2.3150542349618507e-05,0.671989073096504,0.003732189027328689
2015-03-31,0.7770071846874281,0.22265259134934803,0.00021767020132753775,0.00012255376189625265
2015-04-30,0.05333932890744702,0.0012818935999930265,0.9453787229967192,5.4495840722740136e-08
2015-05-31,0.28906452544633116,8.619234563440283e-05,0.7103343873626887,0.0005148948453456812
2015-06-30,0.3105584021926473,0.044008067835228676,0.20503435983535076,0.4403991701367732
2015-07-31,0.0006618962492160645,0.0010450251104812051,0.998291195220163,1.8834201397200665e-06
2015-08-31,0.9865889845540942,8.67955852708635e-06,8.914896123636407e-05,0.013313186926142315
2015-09-30,0.026675897993578494,1.8570918943806619e-09,0.9732618387181688,6.226143116084667e-05
2015-10-31,0.9879607623968223,0.0021909624030730795,0.008937331703654938,0.0009109434964495845
2015-11-30,0.5846632997082921,3.9119132549860766e-05,0.014082744440359188,0.40121483671879876
2015-12-31,0.9340761543243123,1.2602621870215373e-06,0.06592257149120323,1.3922297455604369e-08
2016-01-31,0.7903290916101828,0.01701516932657228,0.1926557390625382,7.067127497166779e-13
2016-02-29,0.9936409558951953,5.030613577779008e-07,0.006358521521559809,1.952188726890627e-08
2016-03-31,0.38386352759956377,0.0002428767309805798,0.6158931900218663,4.0564758926934057e-07
2016-04-30,0.0008174720358971492,0.14441775636512888,0.8547647704540052,1.1449688590596722e-09
2016-05-31,0.741847724023865,0.2536497781341848,0.004499054989724457,3.442852225799379e-06
2016-06-30,0.13601671970333676,0.17350726581315412,0.6904760092971126,5.186396475630544e-09
2016-07-31,0.5789199825195646,0.40953406734289,0.011545947598757727,2.5387877581465364e-09
2016-08-31,0.07304423087364303,0.601278035067298,0.32567773397679434,8.226437850356283e-11
2016-09-30,0.19464064191916433,0.5582847972386191,0.2470745575013976,3.3408188399391036e-09
2016-10-31,0.5486597573030654,0.45083642926649664,0.0005036883240500046,1.251063878336148e-07
